"seed","gamma3","break_mag","innov","criterion","method","nrmse_test","nrmse_cal","coverage","width","max_log10_cond","pmm2_share","pmm3_share","n_params","n_train","frac_outside_hull","maha_ratio"
75001,0,0.3,"platy","MSE","PMM",2.87898067695639,0.838803174069435,0.604,3.30934214861557,4.1106391394404,0,1,108,1500,0.61,9.57120150945278
75001,0,0.3,"platy","MSE","LSE",1.98513846351006,0.841358721251379,0.6184,3.29691804283495,3.00362680496598,0,0,108,1500,0.61,9.57120150945278
75001,0,0.3,"platy","MSE","ridge-LSE",1.9741322297741,0.841359016249123,0.6188,3.29618898677851,3.0045361961549,0,0,108,1500,0.61,9.57120150945278
75001,0,0.3,"platy","MSE","Huber",1.9332440074465,0.841402565606974,0.6204,3.30087312929351,2.95993480171156,0,0,108,1500,0.61,9.57120150945278
75001,0,0.3,"platy","MSE","L1",1.67433563377242,0.851263170659993,0.53,3.40359091821989,2.92157926704695,0,0,72,1500,0.61,9.57120150945278
75001,0,0.3,"platy","ReserveTW4","PMM",2.87898067695783,0.838803174069431,0.604,3.30934214861554,4.1106391394404,0,1,108,1500,0.61,9.57120150945278
75001,0,0.3,"platy","ReserveTW4","LSE",0.78266275559797,0.842847555650904,0.8808,3.3126758839236,3.00362680496598,0,0,72,1500,0.61,9.57120150945278
75001,0,0.3,"platy","ReserveTW4","ridge-LSE",0.782658085456997,0.842848404666019,0.8808,3.31268119179254,3.0045361961549,0,0,72,1500,0.61,9.57120150945278
75001,0,0.3,"platy","ReserveTW4","Huber",0.785878136002594,0.843123458078131,0.8808,3.31234593825866,2.95993480171157,0,0,72,1500,0.61,9.57120150945278
75001,0,0.3,"platy","ReserveTW4","L1",0.994458413278605,0.842631205438224,0.756,3.29225015263248,2.92157926704695,0,0,72,1500,0.61,9.57120150945278
75002,0,0.3,"platy","MSE","PMM",0.759881766044814,0.862389769872144,0.8316,3.29050026234226,3.79732968644651,0,0.888888888888889,72,1500,0.7452,9.98899221439858
75002,0,0.3,"platy","MSE","LSE",0.770542113388877,0.858506275180634,0.8148,3.21955841548335,3.72411297717442,0,0,36,1500,0.7452,9.98899221439858
75002,0,0.3,"platy","MSE","ridge-LSE",0.770541875283435,0.858506289931748,0.8148,3.21956168610376,3.72521483350458,0,0,36,1500,0.7452,9.98899221439858
75002,0,0.3,"platy","MSE","Huber",0.771091037543943,0.858497674890173,0.814,3.21966804742049,3.6757681445877,0,0,36,1500,0.7452,9.98899221439858
75002,0,0.3,"platy","MSE","L1",0.780381011666813,0.859252685318438,0.8188,3.2179472994008,3.10754429974202,0,0,36,1500,0.7452,9.98899221439858
75002,0,0.3,"platy","ReserveTW4","PMM",0.759881766044814,0.862389769872144,0.8316,3.29050026234226,3.79732968644651,0,0.888888888888889,72,1500,0.7452,9.98899221439858
75002,0,0.3,"platy","ReserveTW4","LSE",10.3967209305894,0.861134594833603,0.3792,3.20902172779877,3.72411297717442,0,0,108,1500,0.7452,9.98899221439858
75002,0,0.3,"platy","ReserveTW4","ridge-LSE",1.20913905985815,0.86034967339685,0.726,3.19663431057196,3.72521483350458,0,0,108,1500,0.7452,9.98899221439858
75002,0,0.3,"platy","ReserveTW4","Huber",9.67906547675548,0.861457718766216,0.3876,3.21615029676714,3.6757681445877,0,0,108,1500,0.7452,9.98899221439858
75002,0,0.3,"platy","ReserveTW4","L1",5.56377669449385,0.862856865425199,0.4512,3.21605935161662,3.10754429974201,0,0,108,1500,0.7452,9.98899221439858
75003,0,0.3,"platy","MSE","PMM",0.738446839434422,0.853728828818926,0.874,3.31083307112878,4.18774160885709,0,0.888888888888889,36,1500,0.762,11.6662935755285
75003,0,0.3,"platy","MSE","LSE",0.953511254660938,0.859771126946766,0.7584,3.33796634358054,3.28194792425657,0,0,72,1500,0.762,11.6662935755285
75003,0,0.3,"platy","MSE","ridge-LSE",0.953426642558905,0.859769478970612,0.7584,3.33795202866005,3.28248167381938,0,0,72,1500,0.762,11.6662935755285
75003,0,0.3,"platy","MSE","Huber",0.99287074894268,0.860263475638789,0.7428,3.34420254180463,3.23600279776423,0,0,72,1500,0.762,11.6662935755285
75003,0,0.3,"platy","MSE","L1",0.864566252180683,0.865863999409217,0.8108,3.38263325553721,2.34480184794295,0,0,36,1500,0.762,11.6662935755285
75003,0,0.3,"platy","ReserveTW4","PMM",0.861685741073051,0.856060965472452,0.8448,3.33100349353999,4.18774160885708,0,0.888888888888889,108,1500,0.762,11.6662935755285
75003,0,0.3,"platy","ReserveTW4","LSE",0.822605219224068,0.857947350585468,0.8288,3.33996347681276,3.28194792425657,0,0,36,1500,0.762,11.6662935755285
75003,0,0.3,"platy","ReserveTW4","ridge-LSE",0.82260402766912,0.857947071327407,0.8288,3.3399495291851,3.28248167381938,0,0,36,1500,0.762,11.6662935755285
75003,0,0.3,"platy","ReserveTW4","Huber",0.822853825883406,0.858031390733376,0.8288,3.34127807973505,3.23600279776423,0,0,36,1500,0.762,11.6662935755285
75003,0,0.3,"platy","ReserveTW4","L1",0.864566252180683,0.865863999409217,0.8108,3.38263325553721,2.34480184794295,0,0,36,1500,0.762,11.6662935755285
75004,0,0.3,"platy","MSE","PMM",0.755924304703517,0.877046300836128,0.8536,3.29477227731967,3.80892168441195,0,0.888888888888889,36,1500,0.6636,9.74230676783824
75004,0,0.3,"platy","MSE","LSE",0.716783407414165,0.879456951529907,0.8896,3.30885326544619,2.88311401053911,0,0,36,1500,0.6636,9.74230676783824
75004,0,0.3,"platy","MSE","ridge-LSE",0.716783070807526,0.879456955468422,0.8896,3.30885374117659,2.88377923927164,0,0,36,1500,0.6636,9.74230676783824
75004,0,0.3,"platy","MSE","Huber",0.716894900346852,0.879491572372244,0.8896,3.30797512302162,2.87591294255366,0,0,36,1500,0.6636,9.74230676783824
75004,0,0.3,"platy","MSE","L1",0.959580472401766,0.884451900416266,0.7396,3.35282435881138,2.61736212809134,0,0,72,1500,0.6636,9.74230676783824
75004,0,0.3,"platy","ReserveTW4","PMM",2.84228481683956,0.881764239862444,0.6692,3.32573425103929,3.80892168441195,0,0.888888888888889,108,1500,0.6636,9.74230676783824
75004,0,0.3,"platy","ReserveTW4","LSE",0.716783407414165,0.879456951529907,0.8896,3.30885326544619,2.88311401053911,0,0,36,1500,0.6636,9.74230676783824
75004,0,0.3,"platy","ReserveTW4","ridge-LSE",0.716783070807526,0.879456955468422,0.8896,3.30885374117659,2.88377923927164,0,0,36,1500,0.6636,9.74230676783824
75004,0,0.3,"platy","ReserveTW4","Huber",0.716894900346852,0.879491572372244,0.8896,3.30797512302162,2.87591294255366,0,0,36,1500,0.6636,9.74230676783824
75004,0,0.3,"platy","ReserveTW4","L1",0.708457820538494,0.884321660410626,0.9096,3.33893411605384,2.61736212809134,0,0,36,1500,0.6636,9.74230676783824
75005,0,0.3,"platy","MSE","PMM",0.73235564748512,0.837950595493926,0.8996,3.2879246695069,3.51782417031837,0,0.888888888888889,36,1500,0.7032,9.90432770385627
75005,0,0.3,"platy","MSE","LSE",0.763437474270399,0.838869865990362,0.8468,3.2563061610586,3.18384222742718,0,0,36,1500,0.7032,9.90432770385627
75005,0,0.3,"platy","MSE","ridge-LSE",0.763438183815623,0.83886966243303,0.8468,3.25629196326681,3.18401612344378,0,0,36,1500,0.7032,9.90432770385627
75005,0,0.3,"platy","MSE","Huber",0.766876610605511,0.838991099355717,0.8424,3.25962806536851,3.13960854651394,0,0,36,1500,0.7032,9.90432770385627
75005,0,0.3,"platy","MSE","L1",0.964901657254576,0.842381448831022,0.7136,3.29939075920608,3.29891655318871,0,0,36,1500,0.7032,9.90432770385627
75005,0,0.3,"platy","ReserveTW4","PMM",0.73745425309959,0.837907940962018,0.8908,3.2688470015369,3.51782417031837,0,0.888888888888889,108,1500,0.7032,9.90432770385627
75005,0,0.3,"platy","ReserveTW4","LSE",0.794068955549332,0.839611093838022,0.822,3.27270499293901,3.18384222742718,0,0,72,1500,0.7032,9.90432770385627
75005,0,0.3,"platy","ReserveTW4","ridge-LSE",0.794365681714134,0.839611555620268,0.822,3.27270841395333,3.18401612344378,0,0,72,1500,0.7032,9.90432770385627
75005,0,0.3,"platy","ReserveTW4","Huber",0.803527747484552,0.839766400681211,0.8168,3.27645184809166,3.13960854651394,0,0,72,1500,0.7032,9.90432770385627
75005,0,0.3,"platy","ReserveTW4","L1",1.04087230226391,0.842721929827847,0.7784,3.29437742067483,3.29891655318871,0,0,72,1500,0.7032,9.90432770385627
75006,0,0.3,"platy","MSE","PMM",1.3227065423826,0.865640711732106,0.6196,3.30362132554657,3.59091335706516,0,0.888888888888889,108,1500,0.584,10.2759898098334
75006,0,0.3,"platy","MSE","LSE",0.731224903981562,0.867347033416735,0.8844,3.33847264103825,3.56452997773002,0,0,36,1500,0.584,10.2759898098334
75006,0,0.3,"platy","MSE","ridge-LSE",0.731225473027122,0.867346962330857,0.8844,3.33846546873596,3.56952160619753,0,0,36,1500,0.584,10.2759898098334
75006,0,0.3,"platy","MSE","Huber",0.731277043649378,0.867368829828185,0.8856,3.33913727584301,3.66950132783731,0,0,36,1500,0.584,10.2759898098334
75006,0,0.3,"platy","MSE","L1",11.3931498211186,0.869333073818323,0.6084,3.30839222500283,3.01665902450623,0,0,108,1500,0.584,10.2759898098334
75006,0,0.3,"platy","ReserveTW4","PMM",1.3227065423826,0.865640711732106,0.6196,3.30362132554657,3.59091335706516,0,0.888888888888889,108,1500,0.584,10.2759898098334
75006,0,0.3,"platy","ReserveTW4","LSE",0.741887811955817,0.869362846168137,0.8764,3.3249586286449,3.56452997773002,0,0,108,1500,0.584,10.2759898098334
75006,0,0.3,"platy","ReserveTW4","ridge-LSE",0.741609338665688,0.869361517027655,0.876,3.32505650374113,3.56952160619753,0,0,108,1500,0.584,10.2759898098334
75006,0,0.3,"platy","ReserveTW4","Huber",0.731277043649378,0.867368829828185,0.8856,3.33913727584301,3.66950132783731,0,0,36,1500,0.584,10.2759898098334
75006,0,0.3,"platy","ReserveTW4","L1",0.840144549007716,0.87005342581651,0.832,3.31496877342343,3.01665902450623,0,0,36,1500,0.584,10.2759898098334
75007,0,0.3,"platy","MSE","PMM",2.19570146030468,0.892821234735634,0.6404,3.32155368208627,4.89084915121455,0,0.888888888888889,108,1500,0.6432,10.7817375712851
75007,0,0.3,"platy","MSE","LSE",0.742777243516919,0.900172822967718,0.8968,3.39521522173364,3.97525754981413,0,0,72,1500,0.6432,10.7817375712851
75007,0,0.3,"platy","MSE","ridge-LSE",0.742757227047112,0.900171444082303,0.8972,3.39518248976764,3.97629197743518,0,0,72,1500,0.6432,10.7817375712851
75007,0,0.3,"platy","MSE","Huber",2.96766727792662,0.899635414575133,0.5392,3.44684230839956,3.95037431103241,0,0,108,1500,0.6432,10.7817375712851
75007,0,0.3,"platy","MSE","L1",4.27523920569692,0.915534909468918,0.506,3.58955391673426,3.22379482414091,0,0,108,1500,0.6432,10.7817375712851
75007,0,0.3,"platy","ReserveTW4","PMM",2.19570146030468,0.892821234735634,0.6404,3.32155368208627,4.89084915121455,0,0.888888888888889,108,1500,0.6432,10.7817375712851
75007,0,0.3,"platy","ReserveTW4","LSE",3.36205219884458,0.900025797316397,0.7528,3.40639388513873,3.97525754981413,0,0,108,1500,0.6432,10.7817375712851
75007,0,0.3,"platy","ReserveTW4","ridge-LSE",0.742757227047112,0.900171444082303,0.8972,3.39518248976764,3.97629197743518,0,0,72,1500,0.6432,10.7817375712851
75007,0,0.3,"platy","ReserveTW4","Huber",3.77706611800284,0.900172111843147,0.7408,3.40373319400959,3.95037431103241,0,0,108,1500,0.6432,10.7817375712851
75007,0,0.3,"platy","ReserveTW4","L1",0.779744724029166,0.916062361971136,0.9152,3.59950116528533,3.22379482414091,0,0,108,1500,0.6432,10.7817375712851
75008,0,0.3,"platy","MSE","PMM",0.7645531485545,0.869946171760736,0.8724,3.26098872562639,3.67779299273029,0,0.888888888888889,72,1500,0.5864,11.5408598123054
75008,0,0.3,"platy","MSE","LSE",0.754302515781935,0.873032106355551,0.884,3.28711126453657,3.43550513080348,0,0,36,1500,0.5864,11.5408598123054
75008,0,0.3,"platy","MSE","ridge-LSE",0.754302802720683,0.87303167305225,0.884,3.28710434997969,3.43658291421922,0,0,36,1500,0.5864,11.5408598123054
75008,0,0.3,"platy","MSE","Huber",0.754964698348223,0.873197543924442,0.8836,3.29032968066944,3.3586003647865,0,0,36,1500,0.5864,11.5408598123054
75008,0,0.3,"platy","MSE","L1",0.759976957500445,0.880069837044622,0.8848,3.30746131042497,2.82915142903531,0,0,36,1500,0.5864,11.5408598123054
75008,0,0.3,"platy","ReserveTW4","PMM",1.7239123605497,0.870022646695833,0.7948,3.25619857975346,3.67779299273029,0,0.888888888888889,108,1500,0.5864,11.5408598123054
75008,0,0.3,"platy","ReserveTW4","LSE",0.756338919902124,0.87176876445863,0.8792,3.28391836428788,3.43550513080348,0,0,72,1500,0.5864,11.5408598123054
75008,0,0.3,"platy","ReserveTW4","ridge-LSE",0.756347504756703,0.87176979678867,0.8792,3.28389190635307,3.43658291421922,0,0,72,1500,0.5864,11.5408598123054
75008,0,0.3,"platy","ReserveTW4","Huber",0.756849363055148,0.871835870047131,0.878,3.27780342317682,3.3586003647865,0,0,72,1500,0.5864,11.5408598123054
75008,0,0.3,"platy","ReserveTW4","L1",0.766573126975072,0.876400845051236,0.8744,3.27300911803798,2.82915142903531,0,0,72,1500,0.5864,11.5408598123054
75009,0,0.3,"platy","MSE","PMM",1.88006518053193,0.856175467090352,0.6456,3.26857149279501,3.63956734176098,0,0.888888888888889,108,1500,0.4808,10.487108602722
75009,0,0.3,"platy","MSE","LSE",5.01977609021048,0.850507260399513,0.5692,3.2238577092504,3.47895853905499,0,0,108,1500,0.4808,10.487108602722
75009,0,0.3,"platy","MSE","ridge-LSE",1.33345286898121,0.850796233770204,0.7444,3.22107426515979,3.47955410966254,0,0,108,1500,0.4808,10.487108602722
75009,0,0.3,"platy","MSE","Huber",6.69381425459524,0.85037152713048,0.516,3.23198176922525,3.45424926640271,0,0,108,1500,0.4808,10.487108602722
75009,0,0.3,"platy","MSE","L1",1.22439367764847,0.852562088208935,0.6832,3.28210266376926,2.86030301610717,0,0,72,1500,0.4808,10.487108602722
